"Date","Name","Open","High","Low","Close"
"2018-06-01","EUR to HUF","318.67000","320.83000","318.06000","319.67000"
"2018-05-25","EUR to HUF","317.99000","320.11000","316.07000","319.04000"
"2018-05-18","EUR to HUF","315.06000","318.54000","314.55000","317.92000"
"2018-05-11","EUR to HUF","313.27000","315.67000","313.12000","314.82000"
"2018-05-04","EUR to HUF","312.63000","315.46000","312.36000","313.72000"
"2018-04-27","EUR to HUF","310.38000","313.51000","310.21000","312.30000"
"2018-04-20","EUR to HUF","310.30000","310.99000","309.57000","310.42000"
"2018-04-13","EUR to HUF","311.54000","312.54000","310.05000","310.25000"
"2018-04-06","EUR to HUF","312.22000","312.70000","310.60000","312.19000"
"2018-03-30","EUR to HUF","312.59000","313.05000","311.58000","312.27000"
"2018-03-23","EUR to HUF","311.13000","313.22000","310.12000","312.50000"
"2018-03-16","EUR to HUF","311.38000","312.12000","310.22000","310.43000"
"2018-03-09","EUR to HUF","313.38000","314.28000","311.10000","311.53000"
"2018-03-02","EUR to HUF","312.79000","314.39000","312.52000","313.38000"
"2018-02-23","EUR to HUF","311.24000","313.20000","310.48000","312.71000"
"2018-02-16","EUR to HUF","311.82000","313.17000","310.65000","311.13000"
"2018-02-09","EUR to HUF","309.52000","312.65000","308.97000","311.95000"
"2018-02-02","EUR to HUF","309.01000","311.05000","308.50000","309.46000"
"2018-01-26","EUR to HUF","308.67000","310.19000","308.36000","309.01000"
"2018-01-19","EUR to HUF","308.60000","309.53000","307.37000","308.78000"
"2018-01-12","EUR to HUF","308.23000","310.38000","307.76000","308.72000"
"2018-01-05","EUR to HUF","310.38000","310.70000","307.57000","307.57000"
"2017-12-29","EUR to HUF","310.83000","312.13000","309.42000","310.36000"
"2017-12-22","EUR to HUF","313.60000","314.34000","310.70000","311.63000"
"2017-12-15","EUR to HUF","313.26000","314.90000","312.89000","313.87000"
"2017-12-08","EUR to HUF","313.44000","315.13000","312.51000","313.68000"
"2017-12-01","EUR to HUF","311.72000","314.11000","310.26000","313.59000"
"2017-11-24","EUR to HUF","311.54000","314.19000","311.21000","311.68000"
"2017-11-17","EUR to HUF","311.50000","312.81000","310.92000","311.59000"
"2017-11-10","EUR to HUF","310.44000","312.39000","310.28000","311.53000"
"2017-11-03","EUR to HUF","309.83000","312.02000","309.64000","310.36000"
"2017-10-27","EUR to HUF","307.41000","311.72000","307.24000","309.77000"
"2017-10-20","EUR to HUF","307.77000","308.73000","306.86000","307.55000"
"2017-10-13","EUR to HUF","311.84000","312.56000","307.43000","307.71000"
"2017-10-06","EUR to HUF","311.39000","312.56000","310.47000","311.97000"
"2017-09-29","EUR to HUF","309.48000","311.93000","309.26000","311.17000"
"2017-09-22","EUR to HUF","309.22000","310.78000","307.23000","309.50000"
"2017-09-15","EUR to HUF","306.31000","309.57000","305.74000","309.16000"
"2017-09-08","EUR to HUF","305.10000","306.76000","304.93000","306.29000"
